Techstack,Links
"React, Node.js, MongoDB",https://example.com/react-portfolio
"Angular,.NET, SQL Server",https://example.com/angular-portfolio
"Vue.js, Ruby on Rails, PostgreSQL",https://example.com/vue-portfolio
"Python, Django, MySQL",https://example.com/python-portfolio
"Java, Spring Boot, Oracle",https://example.com/java-portfolio
"Flutter, Firebase, GraphQL",https://example.com/flutter-portfolio
"WordPress, PHP, MySQL",https://example.com/wordpress-portfolio
"Magento, PHP, MySQL",https://example.com/magento-portfolio
"React Native, Node.js, MongoDB",https://example.com/react-native-portfolio
"iOS, Swift, Core Data",https://example.com/ios-portfolio
"Android, Java, Room Persistence",https://example.com/android-portfolio
"Kotlin, Android, Firebase",https://example.com/kotlin-android-portfolio
"Android TV, Kotlin, Android NDK",https://example.com/android-tv-portfolio
"iOS, Swift, ARKit",https://example.com/ios-ar-portfolio
"Cross-platform, Xamarin, Azure",https://example.com/xamarin-portfolio
"Backend, Kotlin, Spring Boot",https://example.com/kotlin-backend-portfolio
"Frontend, TypeScript, Angular",https://example.com/typescript-frontend-portfolio
"Full-stack, JavaScript, Express.js",https://example.com/full-stack-js-portfolio
"Machine Learning, Python, TensorFlow",https://example.com/ml-python-portfolio
"DevOps, Jenkins, Docker",https://example.com/devops-portfolio
"C#, ASP.NET Core, SQL Server",https://example.com/csharp-aspnet-portfolio
"Golang, Gin, PostgreSQL",https://example.com/golang-portfolio
"Rust, Rocket, SQLite",https://example.com/rust-portfolio
"PHP, Laravel, PostgreSQL",https://example.com/php-laravel-portfolio
"Python, Flask, MongoDB",https://example.com/python-flask-portfolio
"Scala, Play Framework, Cassandra",https://example.com/scala-portfolio
"Elixir, Phoenix, MariaDB",https://example.com/elixir-portfolio
"Ruby, Sinatra, PostgreSQL",https://example.com/ruby-sinatra-portfolio
"JavaScript, Next.js, FaunaDB",https://example.com/nextjs-portfolio
"Svelte, Sapper, MySQL",https://example.com/svelte-portfolio
"ASP.NET, Blazor, Azure SQL",https://example.com/blazor-portfolio
"Haskell, Yesod, PostgreSQL",https://example.com/haskell-portfolio
"Dart, Aqueduct, Firebase",https://example.com/dart-aqueduct-portfolio
"Kotlin, Ktor, PostgreSQL",https://example.com/kotlin-ktor-portfolio
"COBOL, CICS, IBM DB2",https://example.com/cobol-portfolio
"Unity, C#, Photon Engine",https://example.com/unity-portfolio
"Unreal Engine, C++, SQLite",https://example.com/unreal-portfolio
"MATLAB, Simulink, PostgreSQL",https://example.com/matlab-portfolio
"TensorFlow.js, JavaScript, Node.js",https://example.com/tensorflowjs-portfolio
"PyTorch, Python, Redis",https://example.com/pytorch-portfolio
"Blockchain, Solidity, Ethereum",https://example.com/blockchain-portfolio
"Neo4j, GraphQL, JavaScript",https://example.com/neo4j-portfolio
"Apache Spark, Scala, HDFS",https://example.com/spark-portfolio
"React, Python, FastAPI",https://example.com/react-fastapi-portfolio
"Vue.js, Django, MySQL",https://example.com/vue-django-portfolio
"Angular, Flask, SQLite",https://example.com/angular-flask-portfolio
"Electron, JavaScript, MongoDB",https://example.com/electron-portfolio
"Firebase, Flutter, TypeScript",https://example.com/firebase-flutter-portfolio
"PHP, CodeIgniter, MariaDB",https://example.com/codeigniter-portfolio
"Java, Struts, Oracle",https://example.com/struts-portfolio
